year, oil 
1900,234.94926
1901,262.838
1902,285.38858
1903,305.04327
1904,342.5384
1905,336.89783
1906,335.54877
1907,414.90024
1908,448.5342
1909,471.31738
1910,512.6388
1911,543.0047
1912,551.7505
1913,608.3304
1914,626.58954
1915,672.5629
1916,721.4903
1917,797.5389
1918,791.8169
1919,901.77856
1920,1155.3823
1921,1250.8414
1922,1396.228
1923,1651.332
1924,1646.6685
1925,1726.5084
1926,1771.9933
1927,2023.1199
1928,2124.5916
1929,2381.731
1930,2271.2344
1931,2197.5117
1932,2097.3774
1933,2290.2727
1934,2416.8884
1935,2627.659
1936,2861.7012
1937,3257.1443
1938,3179.6304
1939,3312.7822
1940,3419.4875
1941,3522.4246
1942,3315.6084
1943,3568.0957
1944,4098.133
1945,4093.3413
1946,4354.179
1947,4796.5376
1948,5428.8726
1949,5397.739
1950,6055.578
1951,6867.236
1952,7218.299
1953,7632.513
1954,7990.694
1955,8955.483
1956,9745.858
1957,10270.767
1958,10527.977
1959,11360.858
1960,12240.843
1961,13029.392
1962,14133.672
1963,15164.043
1964,16376.738
1965,18231.082
1966,19796.81
1967,21238.463
1968,23170.031
1969,24940.334
1970,27433.885
1971,29000.791
1972,30649.97
1973,33445.125
1974,33519.68
1975,31837.768
1976,34590.74
1977,35798.867
1978,36124.168
1979,37653.043
1980,35949.586
1981,33858.336
1982,32518.732
1983,32122.473
1984,32752.219
1985,32465.682
1986,34069.39
1987,34148.09
1988,35607.57
1989,36037.48
1990,36726.777
1991,36627.707
1992,37157.996
1993,37105.156
1994,37619.203
1995,38135.516
1996,39151.24
1997,40023.2
1998,41034.703
1999,40104.69
2000,41863.727
2001,41854.504
2002,41349.258
2003,43184.227
2004,45349.15
2005,45735.105
2006,46140.66
2007,46042.082
2008,46532.49
2009,45375.168
2010,46271.11
2011,46628.05
2012,47925.867
2013,47984.973
2014,49109.766
2015,50752.184
2016,50948.1
2017,51020.32
2018,52221.39
2019,52188.836
2020,48708.867
2021,49286.684
2022,51519.516
2023,52432.227