Engine,mass,ncylinder,strokes,displacement,bore,stroke,BHP,RPM
Webra Speedy,0.135,1,2,1.8,13.5,12.5,0.45,22000
Motori Cipolla,0.15,1,2,2.5,15,14,1,26000
Webra Speed 20,0.25,1,2,3.4,16.5,16,0.78,22000
Webra 40,0.27,1,2,6.5,21,19,0.96,15500
Webra 61 Blackhead,0.43,1,2,10,24,22,1.55,14000
Webra 6WR,0.49,1,2,10,24,22,2.76,19000
Enya 60-4C,0.61,1,4,10,24,22,0.84,11800
Webra 91RC,0.67,1,2,14.3,27,25,2.85,13000
Technopower radial,0.913,7,4,20,15.9,14,0.82,8700
Webra T4,0.93,1,4,14.7,27,25,1.43,9300
Kavan FK50,2.45,2,4,50,34,28,4.1,8000
McCulloch M2-10,3.5,1,2,55,44,35,6.5,11000
Honda 450,34,2,4,450,70,58,43,8500
KFM 104,68,4,4,916,90,72,79,3900
Lycoming 0-145A,75,4,4,2370,92,89,65,2550
Continental A65,79,4,4,2800,98,92,65,2300
Franklin 4AC-176,82,4,4,2800,100,87,75,2500
Franklin 6AC-296,118,6,4,4700,106,87,130,2600
Continental C115,119,6,4,3000,102,92,115,2350
Continental C140,135,6,4,3000,102,92,140,3000
Lycoming GO-290A,150,4,4,4750,124,98,145,3000
Ranger 6-440C,171,6,4,7200,105,129,200,2450
Lycoming GO-435B,182,6,4,7100,124,98,220,3000
Jacobs R-775,229,7,4,12400,133,127,225,2000
Chrysler 340,245,8,4,5569,101,84,275,5000
Ranger SGV-770C,331,12,4,12600,102,120,450,3000
Allison V-1710,735,12,4,28000,194,152,1000,2600
Wright GR-2600,885,14,4,42700,155,160,1350,2300
Allison V-3420,1180,24,4,56000,140,152,2100,2600
Daimler-Benz 609,1400,16,4,61800,165,180,2450,2800
GMC Electromatic 645,1775,16,4,183000,239,254,3300,900
Daimler-Benz 613,1960,24,4,89000,162,180,3120,2700
Sultzer 16-LVA,2000,16,4,220000,250,280,4000,1100
Nordberg,5260,16,4,488000,356,407,3000,400
Ingersoll-Rand PKVT,10850,16,4,1165000,406,559,4400,360
Fairbanks-Morse,12860,12,4,1327000,508,546,12000,400
Cooper-Bessemer V-250,13500,16,4,1334000,457,508,7250,330
Sultzer RD-90,97200,12,4,11850000,900,1550,27600,119
Burmeister and Wain,102300,12,4,11900000,840,1800,27800,110